Date;Close
05/08/2022;24455
08/08/2022;24300
09/08/2022;24426
10/08/2022;24541
11/08/2022;25385
12/08/2022;25177
15/08/2022;24721
16/08/2022;24600
17/08/2022;24660
18/08/2022;24595
19/08/2022;24795
22/08/2022;24465
23/08/2022;24505
24/08/2022;24280
25/08/2022;24310
26/08/2022;24750
30/08/2022;23652
31/08/2022;22793
01/09/2022;21060
02/09/2022;21155
05/09/2022;21625
06/09/2022;21206
07/09/2022;20851
08/09/2022;21342
09/09/2022;21165
12/09/2022;21461
13/09/2022;21380
14/09/2022;21177
15/09/2022;20810
16/09/2022;21137
19/09/2022;20945
20/09/2022;21181
21/09/2022;21170
22/09/2022;21650
23/09/2022;20243
26/09/2022;20640
27/09/2022;20680
28/09/2022;20728
29/09/2022;20523
30/09/2022;20634
03/10/2022;20059
04/10/2022;20207
05/10/2022;20290
06/10/2022;20161
07/10/2022;19425
10/10/2022;20085
11/10/2022;20260
12/10/2022;19820
13/10/2022;20100
14/10/2022;19930
17/10/2022;19645
18/10/2022;19450
19/10/2022;19338
20/10/2022;19348
21/10/2022;18484
24/10/2022;18450
25/10/2022;18477
26/10/2022;18682
27/10/2022;18690
28/10/2022;18101
31/10/2022;17631
01/11/2022;17970
02/11/2022;18010
03/11/2022;17762
04/11/2022;18872
07/11/2022;18939
08/11/2022;19659
09/11/2022;19817
10/11/2022;20324
11/11/2022;21315
14/11/2022;22029
15/11/2022;23386
16/11/2022;23635
17/11/2022;22584
18/11/2022;22664
21/11/2022;21159
22/11/2022;22194
23/11/2022;22028
24/11/2022;22238
25/11/2022;22231
28/11/2022;22354
29/11/2022;22788
30/11/2022;22921
01/12/2022;23331
02/12/2022;23255
05/12/2022;24446
06/12/2022;24814
07/12/2022;24306
08/12/2022;24625
09/12/2022;24290
12/12/2022;23950
13/12/2022;24644
14/12/2022;24275
15/12/2022;23600
16/12/2022;23535
19/12/2022;23307
20/12/2022;23913
21/12/2022;24060
22/12/2022;23930
23/12/2022;23934
28/12/2022;24734
29/12/2022;24915
30/12/2022;24808
03/01/2023;25473
04/01/2023;25095
05/01/2023;24861
06/01/2023;25270
09/01/2023;25861
10/01/2023;25860
11/01/2023;26813
12/01/2023;27409
13/01/2023;28756
16/01/2023;28466
17/01/2023;28416
18/01/2023;29100
19/01/2023;28800
20/01/2023;29536
23/01/2023;29503
24/01/2023;29960
25/01/2023;30850
26/01/2023;32262
27/01/2023;30838
30/01/2023;29809
31/01/2023;29490
01/02/2023;28813
02/02/2023;29377
03/02/2023;28379
06/02/2023;26880
07/02/2023;27071
08/02/2023;27619
09/02/2023;27745
10/02/2023;27349
13/02/2023;27528
14/02/2023;26817
15/02/2023;26658
16/02/2023;27004
17/02/2023;25856
20/02/2023;26700
21/02/2023;27526
22/02/2023;26848
23/02/2023;26171
24/02/2023;25651
27/02/2023;25478
28/02/2023;24963
01/03/2023;25334
02/03/2023;24570
03/03/2023;24750
06/03/2023;24555
07/03/2023;24177
08/03/2023;23742
09/03/2023;23351
10/03/2023;22912
13/03/2023;23210
14/03/2023;22950
15/03/2023;22464
16/03/2023;22218
17/03/2023;22510
20/03/2023;22750
21/03/2023;23039
22/03/2023;23395
23/03/2023;24348
24/03/2023;24830
27/03/2023;25421
28/03/2023;25770
29/03/2023;25814
30/03/2023;25916
31/03/2023;25835
03/04/2023;26040
04/04/2023;24995
05/04/2023;24247
06/04/2023;24308
11/04/2023;23733
12/04/2023;24022
13/04/2023;24442
14/04/2023;24853
17/04/2023;27367
18/04/2023;27843
19/04/2023;27082
20/04/2023;26940
21/04/2023;26594
24/04/2023;26646
25/04/2023;25584
26/04/2023;25754
27/04/2023;25883
28/04/2023;26088
02/05/2023;26491
03/05/2023;26777
04/05/2023;25600
05/05/2023;26064
09/05/2023;25995
10/05/2023;25846
11/05/2023;25308
12/05/2023;24836
15/05/2023;24994
16/05/2023;24524
17/05/2023;24802
18/05/2023;25014
19/05/2023;25451
22/05/2023;24950
23/05/2023;24320
